id,vehicle_id,violation_type,date,location,latitude,longitude,fine_amount,status,officer_name,notes
1,97,Route Permit Violation,2025-02-17,Khulna - Sarah Island,22.804169411763674,89.55216158902599,3500,paid,Officer Nasrin Hossain,Repeat offense
2,40,Route Permit Violation,2024-10-10,Khulna - Suzanne Radial,22.83167002281141,89.49945204286962,3500,paid,Officer Jesmin Molla,Repeat offense
3,27,Over Speeding,2025-07-08,Chattogram - Karen Station,22.362598503222124,91.78444408484104,2000,unpaid,Officer Rafiq Molla,Vehicle impounded briefly
4,24,Fake Registration Plate,2025-02-27,Gazipur - Hickman Hills,23.951134061488396,90.4116810069768,10000,paid,Officer Lutfa Akter,Vehicle impounded briefly
5,134,Over Speeding,2024-07-04,Rangpur - Anne Port,25.724013126537507,89.27451239422108,2000,unpaid,Officer Imran Miah,Issued via mobile court
6,77,Overloading,2024-05-20,Chattogram - Rhodes Plains,22.378989945245557,91.78278024367228,5000,paid,Officer Jesmin Ahmed,First offense
7,78,No Helmet,2026-06-24,Rangpur - Reyes Streets,25.731888995614703,89.31141983105655,500,unpaid,Officer Imran Khan,Repeat offense
8,83,Fake Registration Plate,2023-12-30,Rajshahi - Krystal Spurs,24.42095746230948,88.65107252217467,10000,paid,Officer Rezaul Akter,Repeat offense
9,97,Illegal Parking,2026-02-28,Rangpur - Vincent Key,25.71388000487106,89.32492649257304,800,paid,Officer Delwar Islam,Issued via mobile court
10,54,Overloading,2023-05-22,Sylhet - Connor Fort,24.926796556800447,91.8982656835996,5000,appealed,Officer Rezaul Khan,Repeat offense
11,62,Illegal Parking,2025-02-11,Khulna - Matthew Trafficway,22.80299651355823,89.5893700614437,800,paid,Officer Tanvir Sheikh,Vehicle impounded briefly
12,10,Fitness Certificate Expired,2023-06-24,Comilla - Novak Islands,23.42163694252443,91.15572309688449,2500,paid,Officer Rehana Rahman,Vehicle impounded briefly
13,103,Fitness Certificate Expired,2023-07-21,Rangpur - Cynthia Tunnel,25.719773837040364,89.27626762405251,2500,unpaid,Officer Kamrun Akter,Issued via mobile court
14,96,Route Permit Violation,2026-04-20,Mymensingh - Henry Knolls,24.766143730572214,90.385374493248,3500,paid,Officer Mahmuda Ahmed,Repeat offense
15,107,Signal Breaking,2023-10-18,Chattogram - Reynolds Springs,22.341732865232146,91.76750666808435,1000,appealed,Officer Parvin Kazi,Repeat offense
16,122,Signal Breaking,2025-07-15,Mymensingh - Miller River,24.72899094742177,90.4003264083182,1000,paid,Officer Salma Islam,Repeat offense
17,28,Tax Token Expired,2024-05-14,Khulna - Yates Station,22.847199390189687,89.54549102898251,2000,appealed,Officer Imran Mia,First offense
18,104,Tax Token Expired,2025-06-04,Khulna - Christopher Drives,22.835158237812813,89.56403883695461,2000,unpaid,Officer Jesmin Sheikh,Issued via mobile court
19,2,No Insurance,2023-05-09,Rajshahi - Dawson Roads,24.382234790520187,88.63415023568868,2500,unpaid,Officer Nasima Sarkar,First offense
20,118,Signal Breaking,2025-09-29,Sylhet - Jodi Island,24.89767150196278,91.88261085856662,1000,paid,Officer Halima Bhuiyan,Vehicle impounded briefly
21,30,Fitness Certificate Expired,2026-06-18,Barishal - Rodriguez Avenue,22.668252751301033,90.37085888623147,2500,appealed,Officer Halima Hossain,First offense
22,81,Signal Breaking,2024-01-10,Rajshahi - Wallace Trace,24.361830607096433,88.5683358543268,1000,unpaid,Officer Saiful Khan,Vehicle impounded briefly
23,99,Route Permit Violation,2026-01-05,Khulna - Garcia Corners,22.864943292652935,89.55482600950799,3500,paid,Officer Lutfa Chowdhury,Issued via mobile court
24,74,Over Speeding,2025-07-12,Khulna - Ryan Point,22.857540997878917,89.57685222308564,2000,unpaid,Officer Mahmuda Khan,First offense
25,99,Using Mobile While Driving,2025-04-17,Comilla - Garcia Corners,23.479169667056,91.1724630435274,1500,paid,Officer Mahmuda Chowdhury,
26,145,No Helmet,2024-07-16,Rajshahi - Spencer Ranch,24.34698434166432,88.58306703101412,500,unpaid,Officer Kamrun Kazi,Vehicle impounded briefly
27,131,Signal Breaking,2026-01-17,Gazipur - Shields Bridge,24.032228280799757,90.40698617721054,1000,unpaid,Officer Rashida Mia,Vehicle impounded briefly
28,56,Route Permit Violation,2024-05-21,Chattogram - Gutierrez Tunnel,22.336670893510288,91.83313126692788,3500,paid,Officer Shakil Hossain,Issued via mobile court
29,31,No Valid License,2026-04-19,Rajshahi - Jenny Points,24.39341335871118,88.64030486962703,3000,appealed,Officer Roksana Chowdhury,Vehicle impounded briefly
30,36,No Valid License,2026-03-13,Rajshahi - Ashley Extension,24.359581547895285,88.58230850187903,3000,appealed,Officer Rubina Talukder,Repeat offense
31,147,Illegal Parking,2023-07-15,Comilla - Jackson Grove,23.4242588906428,91.20590941364891,800,waived,Officer Mohammad Miah,First offense
32,34,No Valid License,2024-05-21,Khulna - Adams Drive,22.871747358747985,89.55792345537,3000,paid,Officer Mizanur Miah,Issued via mobile court
33,97,Overloading,2023-07-10,Chattogram - Gary Harbor,22.34718507733018,91.8081802382873,5000,paid,Officer Nasima Mia,Issued via mobile court
34,84,Fake Registration Plate,2023-07-10,Dhaka - Evans Tunnel,23.833393193748705,90.40834492566796,10000,appealed,Officer Nasima Hossain,Vehicle impounded briefly
35,102,No Valid License,2025-10-10,Rangpur - Michael Gateway,25.720753683831443,89.30803436170488,3000,appealed,Officer Mizanur Khan,Vehicle impounded briefly
36,125,Fitness Certificate Expired,2026-07-06,Dhaka - Wheeler Flat,23.83868897618406,90.40845817626735,2500,unpaid,Officer Shahidul Mia,Issued via mobile court
37,1,Route Permit Violation,2023-09-28,Rajshahi - Rodriguez Hollow,24.4127147764042,88.58438655043764,3500,waived,Officer Farzana Hossain,Repeat offense
38,65,Signal Breaking,2023-12-05,Barishal - Stacy Isle,22.656178727504866,90.36606042741649,1000,paid,Officer Ayesha Sheikh,
39,25,No Helmet,2023-09-29,Rajshahi - Brock Isle,24.383867949684106,88.60614442546367,500,paid,Officer Abdul Sarkar,
40,109,No Insurance,2024-04-13,Khulna - Cook Via,22.833906992567577,89.5633763381764,2500,paid,Officer Rakibul Molla,Repeat offense
41,36,Route Permit Violation,2023-10-20,Khulna - Kevin Rapids,22.80244116075226,89.54662912144697,3500,paid,Officer Rehana Mia,Repeat offense
42,55,Tax Token Expired,2026-06-15,Khulna - Timothy Fall,22.864256616987575,89.57629625246021,2000,appealed,Officer Kamal Khan,
43,99,Fitness Certificate Expired,2023-10-14,Rangpur - Novak Highway,25.718678637496357,89.28966205681878,2500,unpaid,Officer Saiful Talukder,
44,78,No Valid License,2024-01-22,Comilla - Faulkner Tunnel,23.485484364098124,91.1604542051242,3000,paid,Officer Habibur Kazi,Issued via mobile court
45,29,No Valid License,2023-05-26,Mymensingh - Mark Harbors,24.74992865009362,90.46806969478433,3000,paid,Officer Rubina Khan,Issued via mobile court
46,146,Route Permit Violation,2023-12-20,Barishal - Diaz Port,22.72727259378956,90.39894529839408,3500,paid,Officer Fatema Hossain,
47,68,No Valid License,2025-03-26,Dhaka - Brittany Plains,23.810961060427495,90.42535706960605,3000,appealed,Officer Roksana Sheikh,Issued via mobile court
48,22,Tax Token Expired,2023-11-09,Comilla - Erin Plaza,23.438446773573457,91.16189068856166,2000,paid,Officer Taslima Khan,Vehicle impounded briefly
49,84,Route Permit Violation,2023-05-16,Gazipur - Stephanie Mountain,23.980916949339715,90.41404860430505,3500,paid,Officer Ayesha Rahman,First offense
50,23,Route Permit Violation,2026-05-31,Chattogram - Samuel Highway,22.312402861968643,91.79980795788592,3500,paid,Officer Rehana Ahmed,
51,36,No Insurance,2024-12-11,Dhaka - Lori Underpass,23.812600536272843,90.44079871015437,2500,unpaid,Officer Rehana Molla,First offense
52,69,No Insurance,2023-03-02,Chattogram - Chambers Dam,22.34040110263162,91.77613245693443,2500,paid,Officer Farzana Hossain,Issued via mobile court
53,117,Using Mobile While Driving,2026-03-06,Barishal - Allen Shoals,22.667688139265543,90.31923099811011,1500,unpaid,Officer Kamrun Ahmed,First offense
54,131,No Helmet,2023-01-26,Dhaka - Jennifer Turnpike,23.78475514503567,90.40967645895776,500,appealed,Officer Jahangir Chowdhury,
55,142,No Insurance,2024-05-23,Rangpur - Jones Rapid,25.735525659850133,89.29722879214282,2500,unpaid,Officer Rafiq Molla,
56,129,Tax Token Expired,2025-11-22,Dhaka - Aguilar Place,23.85844138639415,90.45790794074604,2000,unpaid,Officer Fahim Talukder,Repeat offense
57,84,Signal Breaking,2025-01-25,Comilla - Stephens Turnpike,23.430767115345294,91.18728067408242,1000,paid,Officer Saiful Akter,Issued via mobile court
58,95,Fake Registration Plate,2024-02-05,Mymensingh - Miles Valleys,24.770346333673928,90.42495592426097,10000,waived,Officer Shirin Islam,Issued via mobile court
59,7,No Valid License,2023-01-20,Comilla - Daniel Gateway,23.505799026214344,91.13104620405355,3000,unpaid,Officer Sultana Ahmed,First offense
60,136,No Valid License,2023-05-03,Rangpur - Jackson Ridge,25.79115592359674,89.2394373485205,3000,paid,Officer Mohammad Akter,Vehicle impounded briefly
61,106,No Insurance,2023-06-23,Barishal - Anna Rue,22.709077062737627,90.35404277638608,2500,paid,Officer Shahnaz Hossain,Vehicle impounded briefly
62,146,No Helmet,2023-09-25,Rangpur - Rasmussen Isle,25.71757717347419,89.25129909389236,500,paid,Officer Tanvir Sarkar,Repeat offense
63,116,Illegal Parking,2024-02-20,Rajshahi - Rodriguez Courts,24.338111184641672,88.63121466201598,800,unpaid,Officer Kamal Chowdhury,Issued via mobile court
64,120,Fitness Certificate Expired,2025-01-03,Rangpur - Walker Summit,25.790363472225025,89.24596362256104,2500,unpaid,Officer Nazrul Ahmed,
65,41,Tax Token Expired,2026-05-20,Sylhet - Sean Lock,24.848932980810865,91.9022924750988,2000,appealed,Officer Rafiq Akter,Repeat offense
66,102,Using Mobile While Driving,2024-06-16,Dhaka - Barton Radial,23.8423089615812,90.3798867732518,1500,paid,Officer Jesmin Akter,
67,119,Signal Breaking,2023-05-07,Khulna - Michael Burg,22.878637233189465,89.58855672374837,1000,unpaid,Officer Tanvir Molla,
68,150,Fake Registration Plate,2023-06-03,Sylhet - Garcia Mall,24.84708001827386,91.8251472036047,10000,appealed,Officer Jesmin Khan,
69,85,Signal Breaking,2023-04-14,Dhaka - Darren Stream,23.777098920872906,90.41988841998067,1000,appealed,Officer Shahnaz Kazi,
70,98,Tax Token Expired,2024-03-15,Rangpur - Michael Junctions,25.78473042158719,89.25269817690243,2000,unpaid,Officer Jahangir Rahman,Vehicle impounded briefly
71,63,Tax Token Expired,2026-02-01,Sylhet - Mueller Pike,24.892803092996015,91.82747215510591,2000,paid,Officer Imran Uddin,Vehicle impounded briefly
72,64,Tax Token Expired,2025-02-22,Comilla - Bailey Court,23.48889157668454,91.16681121098375,2000,paid,Officer Mahmuda Molla,Vehicle impounded briefly
73,129,Fitness Certificate Expired,2023-02-23,Rangpur - Bowen Mission,25.725787756732938,89.24710201880731,2500,unpaid,Officer Farzana Rahman,Issued via mobile court
74,136,Fitness Certificate Expired,2023-11-23,Gazipur - Jones Cape,23.959913433730495,90.43598644213762,2500,waived,Officer Mohammad Akter,Vehicle impounded briefly
75,100,Fitness Certificate Expired,2026-04-28,Khulna - Andrew Junctions,22.827400436829187,89.56411051011207,2500,unpaid,Officer Mizanur Islam,Repeat offense
76,146,Fake Registration Plate,2024-01-21,Khulna - Erica Expressway,22.879269684073336,89.57134011631133,10000,paid,Officer Lutfa Talukder,First offense
77,126,No Helmet,2026-05-17,Chattogram - Zachary Plaza,22.328780894169157,91.78584485141485,500,unpaid,Officer Saiful Uddin,First offense
78,88,No Insurance,2024-10-24,Khulna - Mark Meadow,22.801555596284505,89.50507120189862,2500,appealed,Officer Shirin Ahmed,Vehicle impounded briefly
